,# of Dialysis Stations,Offers in-center hemodialysis,Offers in-center peritoneal dialysis,Offers home hemodialysis training,Percentage of Medicare patients with Hgb<10 g/dL,Percentage of Medicare patients with Hgb>12 g/dL,Number of Dialysis Patients with Hgb data,Percent of Adult HD patients with Kt/V >= 1.2,Percentage of Adult PD PTS with Kt/V >= 1.7,Percentage of Pediatric HD patients with Kt/V >= 1.2,Percentage of Adult patients with hypercalcemia (serum calcium greater than 10.2 mg/dL),Percentage of Adult patients with serum phosphorus less than 3.5 mg/dL,Percentage of Adult patients with serum phosphorus between 3.5-4.5 mg/dL,Percentage of Adult patients with serum phosphorus between 4.6-5.5 mg/dL,Percentage of Adult patients with serum phosphorus between 5.6-7.0 mg/dL,Percentage of Adult patients with serum phosphorus greater than 7.0 mg/dL,Percentage of pediatric PD patients with Kt/V>=1.8,Fistula Rate (Facility),Percentage of Adult patients with long term catheter in use,Percentage of pediatric HD patients with nPCR,Readmission Rate (Facility),Mortality Rate (Facility),risk_zone
6726,12,1,0,0,50.0,0.0,14.0,99.0,90.74918566775244,95.21428571428571,0.0,11.0,31.0,28.0,23.0,7.0,71.35483870967742,88.0,3.0,95.875,22.9,24.7,1
6727,24,1,0,0,17.60762331838565,0.22266298723697828,10.0,96.0,90.74918566775244,95.21428571428571,8.0,6.0,32.0,35.0,19.0,8.0,71.35483870967742,43.0,28.0,95.875,27.5,21.716423297785052,1
6728,12,1,1,1,16.0,0.0,19.0,99.0,90.74918566775244,95.21428571428571,0.0,17.0,31.0,26.0,15.0,11.0,71.35483870967742,43.0,17.0,95.875,33.2,24.3,2
6729,24,1,1,1,19.0,0.0,72.0,94.0,90.74918566775244,95.21428571428571,3.0,10.0,22.0,26.0,23.0,19.0,71.35483870967742,44.0,19.0,95.875,35.0,21.6,2
6730,11,1,1,0,10.0,5.0,42.0,99.0,90.74918566775244,95.21428571428571,2.0,23.0,34.0,18.0,16.0,9.0,71.35483870967742,86.0,8.0,95.875,34.7,19.4,2
6731,12,1,0,0,18.0,0.0,11.0,89.0,90.74918566775244,95.21428571428571,0.0,3.0,25.0,36.0,24.0,11.0,71.35483870967742,60.0,16.0,95.875,34.0,20.7,2
6732,13,1,0,0,18.0,0.0,38.0,96.0,90.74918566775244,95.21428571428571,0.0,9.0,27.0,33.0,17.0,14.0,71.35483870967742,70.0,3.0,95.875,32.4,23.1,2
6733,20,1,0,0,17.60762331838565,0.22266298723697828,38.805739203826136,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6734,12,1,0,0,35.0,0.0,37.0,92.0,90.74918566775244,95.21428571428571,4.0,8.0,26.0,30.0,17.0,20.0,71.35483870967742,65.0,15.0,95.875,28.8,30.6,1
6735,20,1,0,0,17.60762331838565,0.22266298723697828,47.0,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6736,13,1,1,1,23.0,0.0,26.0,97.0,90.74918566775244,95.21428571428571,4.0,10.0,24.0,34.0,20.0,12.0,71.35483870967742,32.0,26.0,95.875,20.2,21.8,1
6737,13,1,1,0,17.60762331838565,0.22266298723697828,38.805739203826136,95.98320456835741,90.74918566775244,95.21428571428571,2.448151062155783,8.779016805402858,25.765980838699544,31.04083555834773,21.35746819538244,13.055599183288834,71.35483870967742,63.26854891661195,12.24376231122784,95.875,26.72686037126708,21.716423297785052,1
6738,12,1,0,0,15.0,0.0,27.0,100.0,90.74918566775244,95.21428571428571,0.0,10.0,29.0,33.0,16.0,11.0,71.35483870967742,82.0,2.0,95.875,22.5,32.0,1
